loss,loss_cls,loss_reg,epoch,lr,val_loss,val_loss_cls,val_loss_reg,val_AP@5s/Goal,val_AP@5s/Corner,val_AP@5s/Yellow card,val_AP@5s/Red card,val_AP@5s/Penalty,val_AP@5s/Substitution,val_AP@5s/Offside,val_AP@5s/Foul,val_AP@5s/Shots on target,val_AP@5s/Shots off target,val_mAP@5s,val_AP@10s/Goal,val_AP@10s/Corner,val_AP@10s/Yellow card,val_AP@10s/Red card,val_AP@10s/Penalty,val_AP@10s/Substitution,val_AP@10s/Offside,val_AP@10s/Foul,val_AP@10s/Shots on target,val_AP@10s/Shots off target,val_mAP@10s,val_AP@15s/Goal,val_AP@15s/Corner,val_AP@15s/Yellow card,val_AP@15s/Red card,val_AP@15s/Penalty,val_AP@15s/Substitution,val_AP@15s/Offside,val_AP@15s/Foul,val_AP@15s/Shots on target,val_AP@15s/Shots off target,val_mAP@15s,val_AP@20s/Goal,val_AP@20s/Corner,val_AP@20s/Yellow card,val_AP@20s/Red card,val_AP@20s/Penalty,val_AP@20s/Substitution,val_AP@20s/Offside,val_AP@20s/Foul,val_AP@20s/Shots on target,val_AP@20s/Shots off target,val_mAP@20s,val_AP@25s/Goal,val_AP@25s/Corner,val_AP@25s/Yellow card,val_AP@25s/Red card,val_AP@25s/Penalty,val_AP@25s/Substitution,val_AP@25s/Offside,val_AP@25s/Foul,val_AP@25s/Shots on target,val_AP@25s/Shots off target,val_mAP@25s,val_AP@30s/Goal,val_AP@30s/Corner,val_AP@30s/Yellow card,val_AP@30s/Red card,val_AP@30s/Penalty,val_AP@30s/Substitution,val_AP@30s/Offside,val_AP@30s/Foul,val_AP@30s/Shots on target,val_AP@30s/Shots off target,val_mAP@30s,val_AP@35s/Goal,val_AP@35s/Corner,val_AP@35s/Yellow card,val_AP@35s/Red card,val_AP@35s/Penalty,val_AP@35s/Substitution,val_AP@35s/Offside,val_AP@35s/Foul,val_AP@35s/Shots on target,val_AP@35s/Shots off target,val_mAP@35s,val_AP@40s/Goal,val_AP@40s/Corner,val_AP@40s/Yellow card,val_AP@40s/Red card,val_AP@40s/Penalty,val_AP@40s/Substitution,val_AP@40s/Offside,val_AP@40s/Foul,val_AP@40s/Shots on target,val_AP@40s/Shots off target,val_mAP@40s,val_AP@45s/Goal,val_AP@45s/Corner,val_AP@45s/Yellow card,val_AP@45s/Red card,val_AP@45s/Penalty,val_AP@45s/Substitution,val_AP@45s/Offside,val_AP@45s/Foul,val_AP@45s/Shots on target,val_AP@45s/Shots off target,val_mAP@45s,val_AP@50s/Goal,val_AP@50s/Corner,val_AP@50s/Yellow card,val_AP@50s/Red card,val_AP@50s/Penalty,val_AP@50s/Substitution,val_AP@50s/Offside,val_AP@50s/Foul,val_AP@50s/Shots on target,val_AP@50s/Shots off target,val_mAP@50s,val_AP@55s/Goal,val_AP@55s/Corner,val_AP@55s/Yellow card,val_AP@55s/Red card,val_AP@55s/Penalty,val_AP@55s/Substitution,val_AP@55s/Offside,val_AP@55s/Foul,val_AP@55s/Shots on target,val_AP@55s/Shots off target,val_mAP@55s,val_AP@60s/Goal,val_AP@60s/Corner,val_AP@60s/Yellow card,val_AP@60s/Red card,val_AP@60s/Penalty,val_AP@60s/Substitution,val_AP@60s/Offside,val_AP@60s/Foul,val_AP@60s/Shots on target,val_AP@60s/Shots off target,val_mAP@60s,val_avg_mAP
0.8142639745121668,0.3103227141765958,1.0078825204946926,1,0.00010000019999999998,0.762270276974953,0.31102372122616956,0.9024931113915087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3406809963210932,0.0691758830314243,0.5430102255338745,2,0.00020000009999999994,0.21416851571923473,0.019887774098942924,0.38856148298206705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21736053534871097,0.03066307284233484,0.37339492507450955,3,0.0003,0.19216985606797224,0.01707748485334695,0.35018474246736525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18603724778545475,0.025765083803557624,0.32054432786343856,4,0.00029744596495258525,0.18673817519748126,0.015036892064671393,0.34340256548012704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16857947660152414,0.02328744751239684,0.29058405808120735,5,0.0002898708344106533,0.1799964290377402,0.014159292048937061,0.3316742740173781,0.5347314182385252,0.8595992096721532,0.6169881334764409,0.08256853810383086,0.6231444517347358,0.6587894877745686,0.4742426375389031,0.8949432506344248,0.7556471618929768,0.7087024294478769,0.6209356718514436,0.6587195583838619,0.923405457255484,0.7345776234820619,0.09684582172371914,0.6297033866327917,0.7329860362668772,0.6312007776349406,0.944414388593664,0.8624250874214445,0.856041630246668,0.7070319767641513,0.7469727702699709,0.9489629407052416,0.7949054214903353,0.1567348845471801,0.6497718702403423,0.7584259423928212,0.7437522546673938,0.9611762275445734,0.9132686384356647,0.8995533027816478,0.7573524253075171,0.8088285537025186,0.9594230117170639,0.8291210718065164,0.19907934991861587,0.6592561326351616,0.7768905908586584,0.7993821140652388,0.96989456419821,0.9348889868000487,0.9245076057702235,0.7861271981472255,0.8515326746249219,0.9698858182251051,0.8587579269464829,0.21145363521714233,0.6622312133826913,0.7843783731937616,0.8381168574879352,0.9747473829498858,0.9485204907657998,0.9336211638451921,0.8033245536638919,0.8775692216813269,0.9776735995004486,0.8789740210780916,0.23819644698196152,0.6707072466590844,0.7936917011586222,0.8638773548155783,0.9785646233653829,0.9590183957712792,0.9478693543426715,0.8186141965354448,0.888148595348234,0.9798194302394201,0.9079249441346997,0.24054409890833206,0.6707072466590844,0.8034092579032848,0.8775181908850502,0.981455094682488,0.9666582024722405,0.9562641401380763,0.827244920137091,0.8993399203400578,0.9811818035537989,0.9240377563053706,0.2607648212617062,0.6754592886158406,0.8092850091110941,0.8965802085198131,0.9828702796872513,0.9728575747816492,0.9619931905422714,0.8364369852718854,0.9056650848326502,0.9844010913389418,0.927387077175279,0.2607648212617062,0.6877212079338122,0.8117940461649438,0.9170488250233593,0.9840540704227791,0.9769040573302519,0.966042107314351,0.8421782388798075,0.9124002505167059,0.9862262505526331,0.9337449134501696,0.3240539775430389,0.7272547027590051,0.8148719408861482,0.9319075694239576,0.9856813454664,0.9801794203517247,0.9693813225947068,0.856570169354449,0.9173692544129661,0.9878324753665915,0.9391607322094622,0.3240539775430389,0.7709877858509966,0.8174377898777694,0.9337663017357887,0.9868931504794709,0.9813563468851143,0.9731945556467423,0.8632052370007941,0.9240146682311128,0.9893089969868072,0.943088406394768,0.3240539775430389,0.7743683473127501,0.8198089526677252,0.9412173022434267,0.987336313813838,0.9824458469314621,0.9765342116024271,0.8662177023727355,0.7987699396072031
0.1592293635469488,0.021734985989965653,0.2749887550367696,6,0.0002775325703594421,0.17836030439417344,0.013651651341892328,0.3294173062006774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1499147626459422,0.020566580486260554,0.2586963642465779,7,0.00026085133758309883,0.17624044022605725,0.0134036285629549,0.32567362402469663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14314021833589474,0.019702379113143723,0.2468756779613687,8,0.00024039519545688846,0.17524955043191376,0.013157108787022982,0.32418488292189257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13899600037355406,0.01894051455128927,0.2401109718320072,9,0.00021686075336648075,0.17484988988082178,0.012747270982709193,0.32420523784179706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13393665832076432,0.018347176502068907,0.23117896359548404,10,0.00019104944851081244,0.17623286156706328,0.012543169373904895,0.32737938456528975,0.7536801060894747,0.9059913368018377,0.6220918021928765,0.13852599296429963,0.7795850710498842,0.753930790585319,0.4410569945004681,0.9032424890331665,0.7964245848889613,0.6918646374212978,0.6786393805527585,0.8362696048626199,0.9491206624873971,0.7668471449944769,0.1445025174746618,0.792620692453597,0.8089003451212557,0.6155655215860638,0.9505790439827457,0.898697154662842,0.8307938442405618,0.7593896531866222,0.8790681800403553,0.9636067504763108,0.818467886835659,0.14581440796105227,0.8110016833910905,0.8310881023012668,0.7089258121590752,0.9686575393263333,0.9295325790686757,0.8814112392587621,0.7937574180818581,0.9205061379017305,0.9710554591589897,0.8483470129132928,0.18312621943087537,0.8209571259594703,0.8500123544431721,0.7686782991284229,0.9759538019159919,0.9495651426813474,0.9048821976305135,0.8193083751163807,0.9363217634122485,0.9776370049560121,0.8773361242265576,0.2133090708290981,0.8413999293693859,0.8572193809148545,0.8029780502824689,0.9807472296500812,0.9617363126995322,0.924475062693265,0.8373159929033503,0.9442142254648083,0.9827387846348401,0.8848996712992054,0.21746349884803684,0.8422612531296441,0.863113062965958,0.8491777125445257,0.9841360189844544,0.9672706784115466,0.9339612081970472,0.8469236114480067,0.9541152768607972,0.9851528142781412,0.9047983829408484,0.21746349884803684,0.8642589050808471,0.870744729829446,0.8827314175609118,0.9861606036161987,0.9740428016196852,0.9445557914323235,0.8584024222067235,0.9577797899275744,0.9871212987366533,0.9149586828075229,0.21746349884803684,0.8642589050808471,0.8763405945799199,0.9029341438588836,0.9881341263606487,0.9775701655233355,0.9508072760338226,0.8637368481757246,0.9609490576777624,0.9893206523442686,0.9275875778458431,0.21746349884803684,0.8662694882614463,0.8788958260284776,0.9149873892853875,0.9891768260196976,0.9816206938958789,0.9554114278920078,0.8681682438098808,0.9647455027739689,0.9907590116881799,0.9338314975125446,0.22020993399646094,0.8662694882614463,0.8826353926271726,0.9245383614506899,0.9896612978040764,0.9849031201081679,0.958129325815607,0.8715682932038314,0.9685907767911317,0.9918960339735854,0.9366620478382952,0.23857499210344857,0.8685436598637768,0.8869651370989557,0.9291201639870863,0.9902160288221324,0.9867057487251074,0.9620190816953471,0.8759293670898867,0.9720085641705865,0.9931702923137102,0.9395574298615461,0.23857499210344857,0.8685436598637768,0.8889454130725478,0.9332959283429894,0.990818850236753,0.9878332908456677,0.9650981623874717,0.8777846583198498,0.8292436886745729
