loss,loss_cls,loss_reg,epoch,lr,val_loss,val_loss_cls,val_loss_reg,val_AP@5s/Penalty,val_AP@5s/Kick-off,val_AP@5s/Goal,val_AP@5s/Substitution,val_AP@5s/Offside,val_AP@5s/Shots on target,val_AP@5s/Shots off target,val_AP@5s/Clearance,val_AP@5s/Ball out of play,val_AP@5s/Throw-in,val_AP@5s/Foul,val_AP@5s/Indirect free-kick,val_AP@5s/Direct free-kick,val_AP@5s/Corner,val_AP@5s/Yellow card,val_AP@5s/Red card,val_AP@5s/Yellow->red card,val_mAP@5s,val_AP@10s/Penalty,val_AP@10s/Kick-off,val_AP@10s/Goal,val_AP@10s/Substitution,val_AP@10s/Offside,val_AP@10s/Shots on target,val_AP@10s/Shots off target,val_AP@10s/Clearance,val_AP@10s/Ball out of play,val_AP@10s/Throw-in,val_AP@10s/Foul,val_AP@10s/Indirect free-kick,val_AP@10s/Direct free-kick,val_AP@10s/Corner,val_AP@10s/Yellow card,val_AP@10s/Red card,val_AP@10s/Yellow->red card,val_mAP@10s,val_AP@15s/Penalty,val_AP@15s/Kick-off,val_AP@15s/Goal,val_AP@15s/Substitution,val_AP@15s/Offside,val_AP@15s/Shots on target,val_AP@15s/Shots off target,val_AP@15s/Clearance,val_AP@15s/Ball out of play,val_AP@15s/Throw-in,val_AP@15s/Foul,val_AP@15s/Indirect free-kick,val_AP@15s/Direct free-kick,val_AP@15s/Corner,val_AP@15s/Yellow card,val_AP@15s/Red card,val_AP@15s/Yellow->red card,val_mAP@15s,val_AP@20s/Penalty,val_AP@20s/Kick-off,val_AP@20s/Goal,val_AP@20s/Substitution,val_AP@20s/Offside,val_AP@20s/Shots on target,val_AP@20s/Shots off target,val_AP@20s/Clearance,val_AP@20s/Ball out of play,val_AP@20s/Throw-in,val_AP@20s/Foul,val_AP@20s/Indirect free-kick,val_AP@20s/Direct free-kick,val_AP@20s/Corner,val_AP@20s/Yellow card,val_AP@20s/Red card,val_AP@20s/Yellow->red card,val_mAP@20s,val_AP@25s/Penalty,val_AP@25s/Kick-off,val_AP@25s/Goal,val_AP@25s/Substitution,val_AP@25s/Offside,val_AP@25s/Shots on target,val_AP@25s/Shots off target,val_AP@25s/Clearance,val_AP@25s/Ball out of play,val_AP@25s/Throw-in,val_AP@25s/Foul,val_AP@25s/Indirect free-kick,val_AP@25s/Direct free-kick,val_AP@25s/Corner,val_AP@25s/Yellow card,val_AP@25s/Red card,val_AP@25s/Yellow->red card,val_mAP@25s,val_AP@30s/Penalty,val_AP@30s/Kick-off,val_AP@30s/Goal,val_AP@30s/Substitution,val_AP@30s/Offside,val_AP@30s/Shots on target,val_AP@30s/Shots off target,val_AP@30s/Clearance,val_AP@30s/Ball out of play,val_AP@30s/Throw-in,val_AP@30s/Foul,val_AP@30s/Indirect free-kick,val_AP@30s/Direct free-kick,val_AP@30s/Corner,val_AP@30s/Yellow card,val_AP@30s/Red card,val_AP@30s/Yellow->red card,val_mAP@30s,val_AP@35s/Penalty,val_AP@35s/Kick-off,val_AP@35s/Goal,val_AP@35s/Substitution,val_AP@35s/Offside,val_AP@35s/Shots on target,val_AP@35s/Shots off target,val_AP@35s/Clearance,val_AP@35s/Ball out of play,val_AP@35s/Throw-in,val_AP@35s/Foul,val_AP@35s/Indirect free-kick,val_AP@35s/Direct free-kick,val_AP@35s/Corner,val_AP@35s/Yellow card,val_AP@35s/Red card,val_AP@35s/Yellow->red card,val_mAP@35s,val_AP@40s/Penalty,val_AP@40s/Kick-off,val_AP@40s/Goal,val_AP@40s/Substitution,val_AP@40s/Offside,val_AP@40s/Shots on target,val_AP@40s/Shots off target,val_AP@40s/Clearance,val_AP@40s/Ball out of play,val_AP@40s/Throw-in,val_AP@40s/Foul,val_AP@40s/Indirect free-kick,val_AP@40s/Direct free-kick,val_AP@40s/Corner,val_AP@40s/Yellow card,val_AP@40s/Red card,val_AP@40s/Yellow->red card,val_mAP@40s,val_AP@45s/Penalty,val_AP@45s/Kick-off,val_AP@45s/Goal,val_AP@45s/Substitution,val_AP@45s/Offside,val_AP@45s/Shots on target,val_AP@45s/Shots off target,val_AP@45s/Clearance,val_AP@45s/Ball out of play,val_AP@45s/Throw-in,val_AP@45s/Foul,val_AP@45s/Indirect free-kick,val_AP@45s/Direct free-kick,val_AP@45s/Corner,val_AP@45s/Yellow card,val_AP@45s/Red card,val_AP@45s/Yellow->red card,val_mAP@45s,val_AP@50s/Penalty,val_AP@50s/Kick-off,val_AP@50s/Goal,val_AP@50s/Substitution,val_AP@50s/Offside,val_AP@50s/Shots on target,val_AP@50s/Shots off target,val_AP@50s/Clearance,val_AP@50s/Ball out of play,val_AP@50s/Throw-in,val_AP@50s/Foul,val_AP@50s/Indirect free-kick,val_AP@50s/Direct free-kick,val_AP@50s/Corner,val_AP@50s/Yellow card,val_AP@50s/Red card,val_AP@50s/Yellow->red card,val_mAP@50s,val_AP@55s/Penalty,val_AP@55s/Kick-off,val_AP@55s/Goal,val_AP@55s/Substitution,val_AP@55s/Offside,val_AP@55s/Shots on target,val_AP@55s/Shots off target,val_AP@55s/Clearance,val_AP@55s/Ball out of play,val_AP@55s/Throw-in,val_AP@55s/Foul,val_AP@55s/Indirect free-kick,val_AP@55s/Direct free-kick,val_AP@55s/Corner,val_AP@55s/Yellow card,val_AP@55s/Red card,val_AP@55s/Yellow->red card,val_mAP@55s,val_AP@60s/Penalty,val_AP@60s/Kick-off,val_AP@60s/Goal,val_AP@60s/Substitution,val_AP@60s/Offside,val_AP@60s/Shots on target,val_AP@60s/Shots off target,val_AP@60s/Clearance,val_AP@60s/Ball out of play,val_AP@60s/Throw-in,val_AP@60s/Foul,val_AP@60s/Indirect free-kick,val_AP@60s/Direct free-kick,val_AP@60s/Corner,val_AP@60s/Yellow card,val_AP@60s/Red card,val_AP@60s/Yellow->red card,val_mAP@60s,val_avg_mAP
0.8505895113083933,0.3374923318006923,1.0261943600035193,1,0.00010000019999999998,0.7885994314086819,0.33707437354050496,0.9030501172211671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36474628525065417,0.0706413139932656,0.5882099422390747,2,0.00020000009999999994,0.24052958874515792,0.025864472735368273,0.4293302316152328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26378493289788,0.03364513414460325,0.46027959739406693,3,0.0003,0.21839310607982276,0.021419414146753604,0.3939473835015636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2366223231513801,0.028396920535367152,0.4164508053401012,4,0.0002984732162821399,0.2103265129241867,0.019500214477265222,0.3816525963436666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22135598445835022,0.02598672422931666,0.3907385204867402,5,0.0002939239460421746,0.20624708671957998,0.018797998288414337,0.37489817625581157,0.6547015858752183,0.2790130741003599,0.5329090947503875,0.624477284239258,0.42468876707921316,0.7674668040825535,0.726020601827629,0.8237749909789613,0.9691151511010854,0.9359516207713545,0.9000040440629187,0.8255854798281699,0.6380399660336671,0.8331462713144996,0.6248687590391783,0.2375563350759113,0.04130198899656534,0.6375659893621723,0.6584260506167952,0.41235105769282476,0.6655528109561296,0.70587120842927,0.6377959135424937,0.8786287883408155,0.8494468746602672,0.909644922647673,0.9836690990272476,0.9697232406673688,0.9509711608187388,0.913899584870812,0.775719320012652,0.9154718937871675,0.7387311638748417,0.24112256053161985,0.08034585905261338,0.7227865593840783,0.6673181722354995,0.4765989330396846,0.7539686291845454,0.7443538135953127,0.7340003288908347,0.9195632496767212,0.9021844964141734,0.9412997986186928,0.9885013253366353,0.9778188900260041,0.9672486052824709,0.9440088366465478,0.83964577334529,0.9455953156732253,0.792977099374875,0.24112256053161985,0.11185515904799104,0.7616506462894189,0.706965316224061,0.5224853441926327,0.8112418719129976,0.7702790679565743,0.7965582680549299,0.9438976742821072,0.9224859193046728,0.95308257825838,0.9910506858362371,0.9833273496112973,0.975880521676519,0.9602241683954098,0.870602315085077,0.9592519027884236,0.8357671661145396,0.242714026517445,0.11185515904799104,0.7857452550152527,0.7125133861099884,0.5680904161617466,0.8446720085235916,0.7808765864899914,0.8358579329041187,0.956041329133587,0.9363756445062443,0.9638277828995143,0.9925338692882466,0.9864131620253058,0.9793957018102688,0.9687540639972987,0.8880119359205247,0.9667718089292237,0.8574642378138417,0.2537376656333319,0.11185515904799104,0.8001878053644009,0.7125133861099884,0.5882190425214655,0.874498315796481,0.7846459874046561,0.8693178529546053,0.9631769841596487,0.9466084945669242,0.970239475875724,0.9932821190263876,0.9889168969153719,0.9819471078486295,0.9728916559463627,0.9051359533673313,0.9734033662586032,0.8775885318473744,0.25391285284383014,0.11185515904799104,0.8098913636759633,0.7125133861099884,0.6041546915194724,0.8919455683273085,0.7965124720720829,0.8874393052395586,0.967044486872922,0.9545313934459148,0.9733819062265088,0.9939115396557536,0.9905266808172097,0.9838591950566666,0.9768103578500202,0.9175174138032856,0.9786457662588486,0.8915078969816346,0.25391285284383014,0.23164682695642114,0.8238742200022017,0.7125133861099884,0.6103842973402616,0.9058947212986812,0.7997970200251339,0.9062247657956188,0.9714000190221341,0.959784006379381,0.9761392241810949,0.9944815561912979,0.9918723373940548,0.9857854133551847,0.9797246209208588,0.927359524690746,0.9800059620674535,0.9062130972846187,0.32691285215472465,0.24670815654098988,0.8341882918089543,0.713256017704126,0.6269478017302743,0.9118812091693957,0.8071457073217714,0.9142870122195745,0.9741404843512029,0.9636157882683309,0.9777557458611028,0.9948606182735578,0.9932219188095921,0.9873279422674734,0.9814348341652703,0.9332104436503554,0.9816425577494119,0.9150970479551059,0.34850398966071694,0.2744859363883734,0.8411067679732727,0.7376264276061577,0.6323277997710048,0.9224473511950269,0.8108278365611986,0.9181320345770594,0.9771189002699714,0.9654717605829748,0.9795853630395079,0.9950936798090577,0.9936763592681217,0.9878491022479103,0.9837138179391438,0.9393892515851201,0.9846290030101343,0.9245852824804572,0.36836295467702795,0.2744859363883734,0.8467836977063675,0.7376264276061577,0.6398979971922829,0.9298667785422232,0.8141463205024789,0.9282263138720346,0.9793782592524032,0.9680741810617728,0.9807544640206949,0.995589788409875,0.9943308900307208,0.9882918347327205,0.985015779984856,0.9461177885261369,0.9858684010456926,0.9331781587376824,0.36836295467702795,0.2744859363883734,0.8499536632107726,0.7383779498167926,0.6499434368453012,0.9346289705278714,0.816381628917828,0.9328318059806477,0.9810064354131391,0.9707027064903051,0.9828388182775392,0.9958576382533924,0.9949999840480874,0.989095187181185,0.9856120370216814,0.9520161272768926,0.9868292678351622,0.9349551102079481,0.36836295467702795,0.3736892770975828,0.8581252550510814,0.7976549595703281
0.21175640678532806,0.024515963662934064,0.37448088629772286,6,0.0002864447993031777,0.20294475059598366,0.018176095571793165,0.369537309554548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20458350046948612,0.023517146562664484,0.3621327079051765,7,0.0002761880299246771,0.19881265058954414,0.017461481076595623,0.36270233919824146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19940566662820294,0.02263669670289829,0.3535379398373756,8,0.0002633624361531387,0.1981452392725758,0.017271259211308697,0.36174796094779865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1951955263169296,0.02206607117296112,0.34625891001885145,9,0.0002482291100917927,0.19633818494679664,0.016973426782615562,0.3587295170409399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.191412855687404,0.02164648680425541,0.3395327378071011,10,0.00023109612261833958,0.19523264773958943,0.016810836804056296,0.35684362151974885,0.8247060583810168,0.44667817205379334,0.6963071740871125,0.7323729806574697,0.4039365109823241,0.8065344593771947,0.7151757823874387,0.8504359307719564,0.9729421429580416,0.9459654214790127,0.9037847854459642,0.8186932473760313,0.6810815519848528,0.8748757454164189,0.6525845932448179,0.20387282139725466,0.028289283392950892,0.6798962741996266,0.8266361116123937,0.5891799031808365,0.7799848994744105,0.8004793021698493,0.6068306175338627,0.8935782629488278,0.850124406400151,0.920765105905607,0.9868772388055422,0.973274435546422,0.9505448168251798,0.9071963490272639,0.7852202932595178,0.9331735369003127,0.756208760005356,0.21452976337547425,0.07451023254543543,0.7558302373833202,0.8376030361220757,0.6439669064225976,0.833603874381545,0.8266360274999451,0.7051255881011329,0.919888217203849,0.9010238239996538,0.9487126201258673,0.9903992572880593,0.9810720342077914,0.9685943185803971,0.9394648859164105,0.8419091751791585,0.9540061119509851,0.7991410457295687,0.21619171141970406,0.08862160332500935,0.7879976610266912,0.8647867045495339,0.6655298598476648,0.8767161383079385,0.8416121462889761,0.764578827624943,0.9396245224847011,0.9254041058114719,0.9590191654207556,0.9924230201529767,0.9856317582454359,0.9788057947736419,0.9527641609784778,0.862859208581285,0.965513134747825,0.850237385127361,0.2502501646146471,0.11336089484393597,0.8111245289647983,0.8647867045495339,0.7070456573719749,0.9043533626356304,0.8470295746340715,0.8199102873959457,0.9527219536203404,0.9393660442286844,0.9667686565414415,0.9935381191141275,0.9883604176649463,0.9824831770179081,0.9619927068617216,0.8986682857756003,0.9737619292363853,0.874228967318774,0.28055630606459436,0.11336089484393597,0.8275842967573892,0.8647867045495339,0.7271819474070265,0.9181132725650336,0.8524035712790914,0.8610528818190515,0.9614999696405917,0.9447985903630354,0.9729911448763122,0.9944919291417982,0.9899081072039273,0.9852555338371758,0.9683086130657195,0.9086349552106077,0.9803692367297394,0.8993020816828103,0.28743461288710526,0.11336089484393597,0.8370525910060291,0.8733288536715698,0.7451154936416378,0.9296790395393231,0.8583841586777705,0.8844336639062282,0.9680047248849029,0.9530975218768818,0.9760193363633807,0.9950634161846388,0.9917445184497637,0.9868755704203487,0.9708218617991182,0.9156716450976727,0.9856897407979552,0.9110973672681837,0.28743461288710526,0.1279186774045229,0.8447282472277061,0.8733288536715698,0.7549304569459923,0.9331417458309126,0.8604794210355484,0.901161542831928,0.9744177755206831,0.9615794208649904,0.9778306233575176,0.9955501656096004,0.9925713504278839,0.9886333066957462,0.9736367475347247,0.9269723935076142,0.9874049759750179,0.9251346527957303,0.28929391548043304,0.1319565549492836,0.8498837590020691,0.8736058237563551,0.7680455203660084,0.9405256438052358,0.8653997366059984,0.9197801387787319,0.9785223609665348,0.9644967964792821,0.9795533144979185,0.9959672584396664,0.9932877956692288,0.9896659022490262,0.976004758478977,0.9396976606097063,0.9891448104754978,0.9344761765828196,0.28929391548043304,0.1319565549492836,0.8546720098935707,0.8736058237563551,0.7753466148072148,0.9465132359186192,0.868493816081104,0.9324301182561836,0.9808160730685174,0.9684240029236806,0.9806074329421808,0.9962438057449106,0.9939973057313978,0.9907754664287047,0.9787763136957643,0.9440505377138013,0.9902185543978135,0.941488190638875,0.2947916618954305,0.14608107693493366,0.8589800018197344,0.879234598062018,0.780554057396722,0.954832015490128,0.8736458281383737,0.9360824868141382,0.9820498983835222,0.970727320030929,0.981674319706487,0.996527521357482,0.9945261638779392,0.991324189858485,0.9804908216613004,0.9472629324032376,0.9911824561710851,0.9501932730000071,0.2947916618954305,0.14608107693493366,0.8618341541871893,0.879234598062018,0.7884113722070181,0.958020750765062,0.8747210781154324,0.9479275399384495,0.9841244856289926,0.9732659322194595,0.9825303922556383,0.99689227260615,0.9948346931064123,0.992164548503915,0.9817160182732234,0.9508842144889016,0.9921813823167369,0.9521061059302554,0.2947916618954305,0.14608107693493366,0.8641110660734135,0.8194745689617947
